startdate,operator,scriber,cleaving,Lot,Needle_maker,Needle_No,scribe_length,scribe_force,unseparate,peeling
2025-03-08 22:50:27,JC2024118,2,4,24MCDHA3QDh00,Asahi,556.0,161.3,7.0,0.0,0.0
2025-03-08 23:40:09, PF2025027,8,12,24L9DHA0VDb01,Asahi,554.0,153.7,12.1,0.0,0.0
2025-03-08 23:44:56, PF2025027,6,9,24L9DHA0WCd01,TECDIA,5.0,151.8,12.0,0.0,0.0
2025-03-09 01:13:22, PF2025027,4,7,24MCDHA3KCg01,Ogura,,151.8,12.0,0.0,0.0
2025-03-09 01:25:58,JC2016103,7,11,24MCDHA3KDg00,Asahi,557.0,156.7,12.2,0.0,0.0
2025-03-09 01:42:24, PF2025027,5,8,24MCDHA3WDh00,Asahi,555.0,152.1,12.2,0.29,0.0
2025-03-09 07:22:50,JC2016103,2,4,24LBDEA0NDg00,Asahi,556.0,166.7,7.0,0.0,0.0
2025-03-09 09:35:33,JC2024041,6,9,24LBDEA0NDf01,TECDIA,5.0,151.8,12.0,0.1,0.0
2025-03-09 09:49:44,JC2024041,5,8,24MRDHA40Ah00,Asahi,555.0,152.1,12.2,0.1,0.0
2025-03-09 10:56:16,JC2024041,7,11,24MCDHA3YAh00,Asahi,557.0,156.7,12.2,0.0,0.0
2025-03-09 11:14:47,JC2024041,8,12,24MCDHA3TAa00,Asahi,559.0,151.4,12.3,0.0,0.0
2025-03-09 20:33:01,JC2024041,3,6,24MRDHA46Da00,Asahi,558.0,149.5,12.3,0.0,0.0
2025-03-09 20:40:23,JC2024041,4,7,24MCDHA3RDg01,Ogura,9.0,150.3,12.2,0.0,3.0
2025-03-09 22:51:44,JC2019007,2,4,24MCDHA3VCb01,Asahi,556.0,162.0,7.2,0.0,0.0
2025-03-09 23:03:54,JC2019007,5,8,24MRDHA48Ch00,Asahi,560.0,150.8,12.4,0.0,3.0
2025-03-09 23:59:26,JC2024101,6,9,24MRDHA48Af00,TECDIA,5.0,150.1,12.2,0.0,0.0
2025-03-10 01:59:55,JC2024101,8,12,24MCDHA3UBg01,Asahi,559.0,156.8,12.0,0.0,1.0
2025-03-10 12:35:26,JC2024111,7,11,24LBDEA0PBh01,Asahi,561.0,153.7,12.0,0.1,2.0
2025-03-10 19:10:52,JC2020061,6,9,24LBDEA0SBf00,TECDIA,5.0,157.1,12.4,0.3,0.0
2025-03-10 19:57:48,JC2024041,4,7,24LBDEA0SDh00,Asahi,562.0,153.7,12.2,2.7,0.0
2025-03-10 22:53:26,JC2019007,8,12,24L2D1AMCAb01,Asahi,559.0,155.6,12.2,0.0,2.0
2025-03-10 23:19:03,JC2019007,4,7,24MRDHA43Aa00,Asahi,562.0,148.2,12.2,3.27,2.0
2025-03-11 00:15:33,JC2024101,6,9,24L2D1AMJAf00,TECDIA,5.0,151.1,12.0,0.0,0.0
2025-03-11 01:07:52,JC2019007,7,11,24MRDHA43Ac01,Asahi,561.0,152.8,12.4,0.0,1.0
2025-03-11 01:28:03,JC2019007,4,7,24L2D1AM9Dd01,Asahi,563.0,149.8,12.0,1.2,0.0
2025-03-11 02:41:02,JC2019007,3,6,24LONS302Bd01,Asahi,564.0,147.8,12.0,0.23,0.0
2025-03-11 06:53:31,JC2019007,2,4,24KESJ135Dc00,Asahi,565.0,160.7,7.5,0.0,
2025-03-11 06:54:52,JC2024101,5,8,24MNDEA0UDa00,Asahi,560.0,154.1,12.0,2.67,1.0
2025-03-11 08:05:56,JC2024101,5,8,24MNDEA0XBf00,Asahi,566.0,149.1,11.9,0.0,0.0
2025-03-11 16:51:12,JC2024041,2,4,24LYDF972Cd01,Asahi,565.0,160.7,7.5,0.0,0.0
2025-03-11 17:14:43,JC2024041,9,4,24L2D1AMPDa00,Asahi,507.0,150.4,12.3,0.0,0.0
2025-03-11 21:58:11,JC2024101,4,7,24J9NU376Da00,Asahi,568.0,150.2,12.2,0.0,4.0
2025-03-12 00:02:31,JC2024097,5,8,24MRDHA45Ce01,Asahi,566.0,154.4,11.9,0.0,0.0
2025-03-12 01:27:01,JC2024097,9,4,24MRDHA45Cc01,Asahi,507.0,149.5,12.1,0.0,0.0
2025-03-12 03:57:31, PF2025028,6,9,24MDDFA11Ah00,Asahi,5.0,149.1,12.0,0.0,4.0
2025-03-12 04:47:11,JC2019007,7,11,24MDDFA11Da00,Asahi,570.0,153.7,11.9,0.0,0.0
2025-03-12 05:33:14,JC2019007,8,12,24LYDF974Ag01,Asahi,569.0,157.7,12.1,0.0,0.0
2025-03-12 08:05:47, PF2025028,3,6,24J9NU376Bc00,Asahi,564.0,157.7,12.3,0.0,
2025-03-12 19:12:37,JC2024116,4,7,24MMDEA0TDh00,Asahi,572.0,151.9,12.3,0.0,1.0
2025-03-12 22:17:07,JC2016103,9,4,24L2D1AMFAd01,Asahi,507.0,154.4,12.3,0.0,0.0
2025-03-12 23:26:38, PF2025027,6,9,24L2D1AMFCe01,TECDIA,5.0,152.1,12.0,0.29,1.0
2025-03-12 23:33:03, PF2025027,3,6,24L2D1AMJBa01,Asahi,564.0,156.5,12.3,0.0,0.0
2025-03-12 23:57:12, PF2025027,8,12,24L2D1AMLAc01,Asahi,569.0,148.5,12.2,0.0,0.0
2025-03-13 00:05:00, PF2025027,5,8,24L2D1AMKCg01,Asahi,566.0,152.4,11.9,0.2,0.0
2025-03-13 00:17:48, PF2025027,7,11,24L2D1AMHBc01,Asahi,570.0,155.7,12.3,0.0,2.0
2025-03-13 07:20:36,JC2016103,8,12,24L2D1AMGDg00,Asahi,569.0,150.2,12.1,0.0,0.0
2025-03-13 14:56:12,JC2024116,8,12,24L2D1AMGAa00,Asahi,573.0,150.6,12.0,0.0,0.0
2025-03-13 15:52:46,JC2024116,3,6,24LBDEA0RAg01,Asahi,575.0,153.8,12.4,0.2,0.0
